ride_type,hour,mean
bike,0,1045.9666666666667
bike,1,1579.46875
bike,2,5245.833333333333
bike,3,982.4615384615385
bike,4,2064.3333333333335
bike,5,2786.906976744186
bike,6,711.125
bike,7,777.3076923076923
bike,8,1066.7966101694915
bike,9,1097.7792207792209
bike,10,777.054945054945
bike,11,790.9161676646706
bike,12,780.2385786802031
bike,13,821.0913978494624
bike,14,713.5265700483092
bike,15,688.7884615384615
bike,16,819.5837104072398
bike,17,761.093984962406
bike,18,1154.0511811023623
bike,19,929.0109090909091
bike,20,752.2118226600985
bike,21,874.4859813084112
bike,22,1158.0459770114942
bike,23,924.8360655737705
taxi,0,905.1538461538462
taxi,1,708.7142857142857
taxi,2,503.0
taxi,3,905.0
taxi,4,1045.0
taxi,5,204.0
taxi,6,799.7
taxi,7,712.3571428571429
taxi,8,809.7142857142857
taxi,9,860.4285714285714
taxi,10,1054.0666666666666
taxi,11,705.2727272727273
taxi,12,1152.6
taxi,13,680.0
taxi,14,936.6153846153846
taxi,15,1120.388888888889
taxi,16,1194.142857142857
taxi,17,1532.1538461538462
taxi,18,692.8181818181819
taxi,19,757.8
taxi,20,835.1818181818181
taxi,21,604.5714285714286
taxi,22,750.4285714285714
taxi,23,888.25
