ride_type,hour,mean
bike,0,2649.3584905660377
bike,1,1171.5217391304348
bike,2,2556.05
bike,3,1012.2307692307693
bike,4,819.5882352941177
bike,5,1134.095238095238
bike,6,872.6756756756756
bike,7,1005.2763157894736
bike,8,937.5185185185185
bike,9,939.5692307692308
bike,10,1199.0185185185185
bike,11,1304.5454545454545
bike,12,1000.1428571428571
bike,13,1531.125
bike,14,1284.407894736842
bike,15,1188.2077922077922
bike,16,1473.5842696629213
bike,17,1582.6101694915253
bike,18,1565.0921985815603
bike,19,1234.0396825396826
bike,20,2039.859375
bike,21,1330.0813953488373
bike,22,941.0322580645161
bike,23,1727.5588235294117
taxi,0,912.9333333333333
taxi,1,789.3333333333334
taxi,2,665.5
taxi,3,832.375
taxi,4,765.1428571428571
taxi,5,818.4166666666666
taxi,6,1070.9444444444443
taxi,7,733.4473684210526
taxi,8,752.3617021276596
taxi,9,4175.038461538462
taxi,10,1006.5
taxi,11,1036.0
taxi,12,1020.8235294117648
taxi,13,906.5652173913044
taxi,14,981.2307692307693
taxi,15,998.25
taxi,16,843.48
taxi,17,747.5
taxi,18,940.1176470588235
taxi,19,991.1304347826087
taxi,20,875.2380952380952
taxi,21,793.4705882352941
taxi,22,613.7692307692307
taxi,23,611.5
