ride_type,hour,mean
bike,0,9668.538461538461
bike,1,2844.0
bike,2,356.0
bike,3,1760.0
bike,4,201.0
bike,5,805.5
bike,6,2381.6
bike,7,626.2
bike,8,583.0909090909091
bike,9,1488.6666666666667
bike,10,598.375
bike,11,7157.928571428572
bike,12,914.7272727272727
bike,13,1172.8181818181818
bike,14,5064.888888888889
bike,15,1501.1666666666667
bike,16,1134.5217391304348
bike,17,1251.391304347826
bike,18,3109.913043478261
bike,19,1481.05
bike,20,1671.6923076923076
bike,21,784.8181818181819
bike,22,3487.266666666667
bike,23,943.0
taxi,0,
taxi,1,
taxi,2,
taxi,3,
taxi,4,
taxi,5,
taxi,6,1127.0
taxi,7,1863.0
taxi,8,1070.0
taxi,9,1608.5
taxi,10,2681.5
taxi,11,2040.0
taxi,12,1508.0
taxi,13,2831.5
taxi,14,
taxi,15,1677.4
taxi,16,3814.5
taxi,17,3157.0
taxi,18,
taxi,19,
taxi,20,
taxi,21,
taxi,22,
taxi,23,2409.8
