ride_type,hour,mean
bike,0,797.948275862069
bike,1,2620.906976744186
bike,2,3372.181818181818
bike,3,1056.642857142857
bike,4,744.9047619047619
bike,5,494.86842105263156
bike,6,657.6777777777778
bike,7,636.1128205128205
bike,8,739.5864661654135
bike,9,828.8436018957347
bike,10,641.1090909090909
bike,11,1207.0213675213674
bike,12,779.1561181434599
bike,13,819.7876447876448
bike,14,728.9656488549618
bike,15,780.0378548895899
bike,16,715.5650969529086
bike,17,862.5848623853211
bike,18,794.829373650108
bike,19,3618.79945799458
bike,20,811.3418530351438
bike,21,744.8449197860963
bike,22,1282.2868217054263
bike,23,749.5333333333333
taxi,0,1196.7428571428572
taxi,1,572.3493975903615
taxi,2,682.0847457627119
taxi,3,763.25
taxi,4,732.7222222222222
taxi,5,795.3518518518518
taxi,6,625.2869565217392
taxi,7,570.736
taxi,8,997.4465753424657
taxi,9,850.1548913043479
taxi,10,878.7557471264367
taxi,11,708.866847826087
taxi,12,720.4511278195489
taxi,13,1281.7054945054945
taxi,14,736.4697336561743
taxi,15,729.0629539951574
taxi,16,734.0447058823529
taxi,17,743.3301662707838
taxi,18,616.0434782608696
taxi,19,620.845971563981
taxi,20,851.1329305135952
taxi,21,612.8123167155425
taxi,22,899.0844155844156
taxi,23,599.7704081632653
