ride_type,weekday,duration,start_zoneID,started_at
bike,0,736.0,145,2021-07-12 08:26:53
bike,0,785.0,145,2021-07-12 09:52:01
bike,0,2692.0,145,2021-07-12 17:30:36
bike,0,383.0,145,2021-07-26 17:11:16
bike,0,557.0,145,2021-07-19 21:43:12
bike,0,2212.0,145,2021-07-19 08:02:31
bike,0,2244.0,145,2021-07-26 08:12:31
bike,0,1049.0,145,2021-07-19 07:42:33
bike,0,774.0,145,2021-07-26 19:37:48
bike,0,89991.0,145,2021-07-26 22:04:07
bike,0,384.0,145,2021-07-12 09:08:20
bike,0,1107.0,145,2021-07-12 20:10:40
bike,0,475.0,145,2021-07-05 10:45:32
bike,0,1292.0,145,2021-07-19 18:59:49
bike,0,685.0,145,2021-07-26 15:33:20
bike,0,2073.0,145,2021-07-26 15:48:49
bike,0,1160.0,145,2021-07-26 09:04:04
bike,0,963.0,145,2021-07-05 00:47:29
bike,0,129.0,145,2021-07-05 18:40:22
bike,0,845.0,145,2021-07-26 21:15:38
bike,0,197.0,145,2021-07-12 07:37:41
bike,0,705.0,145,2021-07-12 15:17:14
bike,0,859.0,145,2021-07-19 09:21:47
bike,0,4215.0,145,2021-07-26 13:26:32
bike,0,591.0,145,2021-07-05 19:50:16
bike,0,653.0,145,2021-07-05 15:38:34
bike,0,882.0,145,2021-07-05 11:56:56
bike,0,280.0,145,2021-07-05 16:51:46
bike,0,200.0,145,2021-07-19 18:11:00
bike,0,2569.0,145,2021-07-05 16:26:37
bike,0,1297.0,145,2021-07-26 08:04:17
bike,0,544.0,145,2021-07-12 10:31:12
bike,0,1303.0,145,2021-07-05 16:20:07
bike,0,981.0,145,2021-07-12 12:29:08
bike,0,680.0,145,2021-07-05 20:31:49
bike,0,2051.0,145,2021-07-19 18:01:24
bike,0,661.0,145,2021-07-05 10:56:26
bike,0,1035.0,145,2021-07-05 12:30:19
bike,0,329.0,145,2021-07-19 09:49:10
bike,0,324.0,145,2021-07-12 20:18:14
bike,0,654.0,145,2021-07-12 17:26:00
bike,0,953.0,145,2021-07-19 17:49:49
bike,0,249.0,145,2021-07-12 16:00:00
bike,0,819.0,145,2021-07-12 09:35:17
bike,0,93.0,145,2021-07-26 09:43:47
bike,0,140.0,145,2021-07-26 14:25:43
bike,0,110.0,145,2021-07-05 11:12:54
bike,0,916.0,145,2021-07-26 09:40:14
bike,0,659.0,145,2021-07-26 12:19:46
bike,0,166.0,145,2021-07-12 17:40:12
bike,0,502.0,145,2021-07-12 07:48:52
bike,0,1760.0,145,2021-07-12 18:59:37
bike,0,2892.0,145,2021-07-05 16:13:26
bike,0,516.0,145,2021-07-19 21:16:15
bike,0,1137.0,145,2021-07-05 17:44:18
bike,0,4316.0,145,2021-07-19 23:11:51
bike,0,1179.0,145,2021-07-26 18:08:01
bike,0,1235.0,145,2021-07-05 09:54:35
bike,0,801.0,145,2021-07-05 14:17:38
bike,0,495.0,145,2021-07-12 09:26:07
bike,0,1254.0,145,2021-07-05 20:45:15
bike,0,516.0,145,2021-07-05 17:42:29
bike,0,1271.0,145,2021-07-19 17:49:33
bike,0,1359.0,145,2021-07-12 15:45:23
bike,0,167.0,145,2021-07-12 14:44:53
bike,0,384.0,145,2021-07-12 17:40:51
bike,0,538.0,145,2021-07-26 18:31:38
bike,0,387.0,145,2021-07-26 16:11:21
bike,0,2459.0,145,2021-07-26 00:41:48
bike,0,1289.0,145,2021-07-19 02:08:20
bike,0,2013.0,145,2021-07-12 10:00:04
bike,0,1460.0,145,2021-07-12 19:38:45
bike,0,884.0,145,2021-07-05 15:11:23
bike,0,4332.0,145,2021-07-19 23:11:22
bike,0,724.0,145,2021-07-05 15:41:38
bike,0,1187.0,145,2021-07-05 00:29:33
bike,0,307.0,145,2021-07-26 06:42:26
bike,0,1482.0,145,2021-07-05 13:00:07
bike,0,257.0,145,2021-07-19 11:52:07
bike,0,2016.0,145,2021-07-05 18:25:24
bike,0,1111.0,145,2021-07-05 18:01:43
bike,0,654.0,145,2021-07-12 18:00:11
bike,0,625.0,145,2021-07-05 19:58:51
bike,0,2206.0,145,2021-07-26 18:01:57
bike,0,727.0,145,2021-07-19 18:01:09
bike,0,704.0,145,2021-07-26 08:38:18
bike,0,611.0,145,2021-07-05 19:59:05
bike,0,1602.0,145,2021-07-05 17:04:56
bike,0,144.0,145,2021-07-12 15:47:52
bike,0,159.0,145,2021-07-12 16:49:29
bike,0,4283.0,145,2021-07-19 23:13:13
bike,0,897.0,145,2021-07-05 11:56:39
bike,0,313.0,145,2021-07-12 18:35:06
bike,0,267.0,145,2021-07-19 10:07:39
bike,0,431.0,145,2021-07-05 18:26:25
bike,0,2298.0,145,2021-07-19 20:54:32
bike,0,387.0,145,2021-07-19 19:26:33
bike,0,464.0,145,2021-07-26 18:36:36
bike,0,1741.0,145,2021-07-19 15:59:22
bike,0,584.0,145,2021-07-12 08:10:45
bike,0,837.0,145,2021-07-26 14:50:59
bike,0,964.0,145,2021-07-19 13:32:59
bike,0,460.0,145,2021-07-26 15:44:19
bike,0,299.0,145,2021-07-12 21:23:18
bike,0,515.0,145,2021-07-05 21:13:11
bike,0,559.0,145,2021-07-12 18:27:43
bike,0,1139.0,145,2021-07-19 20:30:56
bike,0,474.0,145,2021-07-05 08:35:58
bike,0,471.0,145,2021-07-26 19:38:04
bike,0,478.0,145,2021-07-19 19:32:25
bike,0,564.0,145,2021-07-19 19:56:19
bike,0,1163.0,145,2021-07-26 20:32:02
bike,0,1798.0,145,2021-07-19 16:28:59
bike,0,667.0,145,2021-07-19 18:01:53
bike,0,6124.0,145,2021-07-19 20:14:02
bike,0,1278.0,145,2021-07-12 23:03:20
bike,0,2139.0,145,2021-07-12 07:45:05
bike,0,1120.0,145,2021-07-19 08:49:20
bike,0,3491.0,145,2021-07-05 11:33:12
bike,0,2465.0,145,2021-07-05 16:28:33
bike,0,221.0,145,2021-07-12 19:18:57
bike,0,471.0,145,2021-07-26 12:00:56
bike,0,744.0,145,2021-07-12 00:03:22
bike,0,1382.0,145,2021-07-12 20:12:06
bike,0,2227.0,145,2021-07-19 16:35:07
bike,0,746.0,145,2021-07-26 16:56:10
bike,0,242.0,145,2021-07-05 08:01:14
bike,0,233.0,145,2021-07-19 08:31:00
bike,0,301.0,145,2021-07-12 12:56:58
bike,0,331.0,145,2021-07-19 09:06:29
bike,0,219.0,145,2021-07-26 10:16:05
bike,0,214.0,145,2021-07-12 08:14:28
bike,0,4235.0,145,2021-07-19 23:12:25
bike,0,4149.0,145,2021-07-19 23:14:19
bike,0,414.0,145,2021-07-05 15:54:25
bike,0,445.0,145,2021-07-26 06:56:56
bike,0,1537.0,145,2021-07-05 12:59:38
bike,0,1797.0,145,2021-07-26 22:33:56
bike,0,1750.0,145,2021-07-26 22:34:06
bike,0,810.0,145,2021-07-05 20:51:37
bike,0,265.0,145,2021-07-26 15:17:40
bike,0,864.0,145,2021-07-26 20:22:39
bike,0,771.0,145,2021-07-05 15:40:40
bike,0,235.0,145,2021-07-05 09:03:56
bike,0,765.0,145,2021-07-05 15:40:40
bike,0,154.0,145,2021-07-12 17:03:44
bike,0,1930.0,145,2021-07-05 12:36:09
bike,0,1113.0,145,2021-07-19 13:16:52
bike,0,1364.0,145,2021-07-26 23:08:28
bike,0,884.0,145,2021-07-19 09:21:40
bike,0,1116.0,145,2021-07-12 01:25:26
bike,0,850.0,145,2021-07-05 10:37:36
bike,0,1770.0,145,2021-07-26 12:01:12
bike,0,2065.0,145,2021-07-26 14:37:55
bike,0,485.0,145,2021-07-05 21:24:55
bike,0,2145.0,145,2021-07-19 16:59:43
bike,0,1930.0,145,2021-07-19 19:14:31
bike,0,1828.0,145,2021-07-05 13:57:17
bike,0,1881.0,145,2021-07-19 20:10:09
bike,0,5078.0,145,2021-07-19 15:02:55
bike,0,813.0,145,2021-07-19 18:36:52
bike,0,5045.0,145,2021-07-19 15:03:32
bike,0,762.0,145,2021-07-12 19:17:57
bike,0,790.0,145,2021-07-12 08:43:15
bike,0,1407.0,145,2021-07-19 18:11:14
bike,0,2490.0,145,2021-07-26 17:28:03
bike,0,3055.0,145,2021-07-05 14:14:12
bike,0,1102.0,145,2021-07-19 10:14:10
bike,0,1487.0,145,2021-07-26 19:49:54
bike,0,545.0,145,2021-07-19 18:03:38
bike,0,618.0,145,2021-07-26 18:06:30
bike,0,1390.0,145,2021-07-26 19:51:22
bike,0,1489.0,145,2021-07-26 19:50:50
bike,0,449.0,145,2021-07-05 13:05:57
bike,0,446.0,145,2021-07-26 16:02:36
bike,0,426.0,145,2021-07-26 14:34:51
bike,0,849.0,145,2021-07-05 13:08:32
bike,0,841.0,145,2021-07-05 13:08:34
bike,0,1918.0,145,2021-07-05 22:16:08
bike,0,1895.0,145,2021-07-05 22:17:33
