ride_type,hour,mean
bike,0,1111.5
bike,1,2406.0
bike,2,1356.0
bike,3,1006.75
bike,4,1806.5
bike,5,1655.0
bike,6,866.1052631578947
bike,7,1474.4666666666667
bike,8,1772.05
bike,9,1266.3
bike,10,1775.28
bike,11,1311.6486486486488
bike,12,2105.5714285714284
bike,13,1504.5454545454545
bike,14,5747.802469135802
bike,15,1419.2931034482758
bike,16,1552.4954128440368
bike,17,1338.5363636363636
bike,18,1403.9126984126983
bike,19,1591.9733333333334
bike,20,1253.7564102564102
bike,21,766.4782608695652
bike,22,1271.0434782608695
bike,23,1355.9565217391305
taxi,0,1266.923076923077
taxi,1,924.2857142857143
taxi,2,727.6666666666666
taxi,3,985.0
taxi,4,
taxi,5,
taxi,6,506.85714285714283
taxi,7,677.1578947368421
taxi,8,795.551724137931
taxi,9,849.875
taxi,10,835.1509433962265
taxi,11,910.85
taxi,12,927.8196721311475
taxi,13,2986.8048780487807
taxi,14,947.2555555555556
taxi,15,1011.5591397849462
taxi,16,980.7977528089888
taxi,17,943.0568181818181
taxi,18,1968.4756097560976
taxi,19,861.3076923076923
taxi,20,789.2285714285714
taxi,21,3440.8611111111113
taxi,22,934.7058823529412
taxi,23,1041.7777777777778
