ride_type,hour,mean
bike,0,791.4
bike,1,1118.5714285714287
bike,2,716.0
bike,3,1460.875
bike,4,769.0
bike,5,556.75
bike,6,915.9705882352941
bike,7,798.6351351351351
bike,8,638.3972602739726
bike,9,698.7472527472528
bike,10,1069.1122448979593
bike,11,898.7461538461539
bike,12,798.4108108108109
bike,13,1643.0898876404494
bike,14,996.394495412844
bike,15,929.7136752136752
bike,16,1202.5470588235294
bike,17,982.1655405405405
bike,18,836.3095238095239
bike,19,874.5390625
bike,20,1158.8
bike,21,773.0952380952381
bike,22,1054.25
bike,23,997.0
taxi,0,585.8064516129032
taxi,1,724.6285714285714
taxi,2,526.9166666666666
taxi,3,352.0
taxi,4,1109.375
taxi,5,795.1666666666666
taxi,6,627.6631578947369
taxi,7,1224.2868852459017
taxi,8,573.2460317460317
taxi,9,677.7029177718833
taxi,10,671.4055201698513
taxi,11,708.7825464949929
taxi,12,713.0374064837905
taxi,13,954.4535398230089
taxi,14,859.6939364773821
taxi,15,877.5653357531761
taxi,16,922.5214968152866
taxi,17,768.2646420824295
taxi,18,768.2161775232642
taxi,19,753.8620055197792
taxi,20,683.7975460122699
taxi,21,556.5296442687747
taxi,22,595.079772079772
taxi,23,602.7258064516129
