ride_type,hour,mean
bike,0,1838.8541666666667
bike,1,764.1176470588235
bike,2,836.8333333333334
bike,3,608.0
bike,4,672.8
bike,5,3013.7272727272725
bike,6,659.875
bike,7,2578.6666666666665
bike,8,929.0819672131148
bike,9,672.3548387096774
bike,10,775.2156862745098
bike,11,955.4558823529412
bike,12,1788.3098591549297
bike,13,846.8695652173913
bike,14,997.1263157894737
bike,15,1462.721649484536
bike,16,792.2936507936508
bike,17,1597.7622950819673
bike,18,1170.2142857142858
bike,19,3041.4803921568628
bike,20,953.6153846153846
bike,21,723.08
bike,22,910.1555555555556
bike,23,812.7631578947369
taxi,0,1173.25
taxi,1,761.6666666666666
taxi,2,28.0
taxi,3,29434.333333333332
taxi,4,461.0
taxi,5,1290.0
taxi,6,867.5
taxi,7,2603.0
taxi,8,1160.4
taxi,9,2455.5
taxi,10,1396.25
taxi,11,656.0
taxi,12,365.3333333333333
taxi,13,736.3333333333334
taxi,14,3714.5
taxi,15,275.0
taxi,16,875.25
taxi,17,1375.875
taxi,18,
taxi,19,1065.0
taxi,20,
taxi,21,848.75
taxi,22,1195.0
taxi,23,1297.0
