ride_type,hour,mean
bike,0,25192.25
bike,1,908.4375
bike,2,750.7142857142857
bike,3,665.0
bike,4,1294.6
bike,5,666.25
bike,6,702.875
bike,7,1150.0533333333333
bike,8,917.7263157894737
bike,9,859.7934782608696
bike,10,1369.2439024390244
bike,11,2061.8867924528304
bike,12,2395.409836065574
bike,13,1354.513888888889
bike,14,1413.7865853658536
bike,15,1377.0
bike,16,1506.78612716763
bike,17,1902.3978494623657
bike,18,1300.054131054131
bike,19,5261.96336996337
bike,20,1270.9259259259259
bike,21,1353.6691729323309
bike,22,1236.2621359223301
bike,23,1084.7692307692307
taxi,0,
taxi,1,960.0
taxi,2,
taxi,3,1800.0
taxi,4,1368.0
taxi,5,
taxi,6,741.3333333333334
taxi,7,1024.5
taxi,8,784.0
taxi,9,1378.0
taxi,10,1399.0
taxi,11,973.5
taxi,12,948.5
taxi,13,1247.6666666666667
taxi,14,1039.75
taxi,15,1521.5
taxi,16,900.0
taxi,17,914.2857142857143
taxi,18,1018.125
taxi,19,835.6666666666666
taxi,20,933.0
taxi,21,1085.0
taxi,22,859.6
taxi,23,1556.6666666666667
