ride_type,hour,mean
bike,0,1471.6043956043957
bike,1,1589.48
bike,2,964.7073170731708
bike,3,916.3243243243244
bike,4,4120.615384615385
bike,5,669.2903225806451
bike,6,1020.6730769230769
bike,7,895.5357142857143
bike,8,812.8837209302326
bike,9,1162.021551724138
bike,10,1288.3560209424083
bike,11,827.2108108108108
bike,12,882.2277227722773
bike,13,964.9257641921397
bike,14,900.5826771653543
bike,15,2220.1285714285714
bike,16,1028.7041198501872
bike,17,16823.24630541872
bike,18,917.3041749502983
bike,19,1126.5740318906605
bike,20,1206.7079365079364
bike,21,1674.3234042553192
bike,22,1073.1806451612904
bike,23,1401.959349593496
taxi,0,908.1052631578947
taxi,1,935.75
taxi,2,869.0
taxi,3,1140.0
taxi,4,847.6666666666666
taxi,5,1620.0
taxi,6,988.0
taxi,7,
taxi,8,1440.0
taxi,9,838.0
taxi,10,1151.3333333333333
taxi,11,1872.0
taxi,12,1280.0
taxi,13,1378.0
taxi,14,1988.6
taxi,15,1449.3333333333333
taxi,16,2282.4285714285716
taxi,17,1253.7142857142858
taxi,18,2101.1666666666665
taxi,19,739.6666666666666
taxi,20,940.1666666666666
taxi,21,790.6666666666666
taxi,22,920.8
taxi,23,837.25
