ride_type,hour,mean
bike,0,2365.235294117647
bike,1,874.1666666666666
bike,2,1005.75
bike,3,1048.0
bike,4,481.6
bike,5,657.6
bike,6,762.7
bike,7,1086.2682926829268
bike,8,987.574074074074
bike,9,833.0
bike,10,712.9285714285714
bike,11,760.8235294117648
bike,12,806.0851063829788
bike,13,1984.5438596491229
bike,14,826.171875
bike,15,778.0526315789474
bike,16,835.2926829268292
bike,17,707.6209677419355
bike,18,692.6974789915967
bike,19,857.0379746835443
bike,20,950.4642857142857
bike,21,2493.8867924528304
bike,22,785.5
bike,23,817.6296296296297
taxi,0,2040.0
taxi,1,
taxi,2,
taxi,3,
taxi,4,
taxi,5,1388.0
taxi,6,1492.0
taxi,7,1254.0
taxi,8,1291.0
taxi,9,1440.0
taxi,10,2010.0
taxi,11,
taxi,12,771.0
taxi,13,
taxi,14,1509.5
taxi,15,1059.3333333333333
taxi,16,2607.0
taxi,17,1860.0
taxi,18,
taxi,19,1516.0
taxi,20,1151.0
taxi,21,1062.0
taxi,22,180.0
taxi,23,943.0
