ride_type,hour,mean
bike,0,2178.9692307692308
bike,1,766.8571428571429
bike,2,1258.6
bike,3,856.5714285714286
bike,4,1112.2857142857142
bike,5,1108.25
bike,6,691.3970588235294
bike,7,921.5952380952381
bike,8,1175.618811881188
bike,9,989.8404255319149
bike,10,772.0060606060606
bike,11,1031.1666666666667
bike,12,1065.643216080402
bike,13,969.4554973821989
bike,14,1122.5783783783784
bike,15,1140.9681818181818
bike,16,930.6018518518518
bike,17,847.1136363636364
bike,18,919.6677524429967
bike,19,886.1073619631902
bike,20,874.1565656565657
bike,21,990.7142857142857
bike,22,1205.928
bike,23,1027.7285714285715
taxi,0,1532.6666666666667
taxi,1,1027.5
taxi,2,
taxi,3,
taxi,4,892.0
taxi,5,1080.0
taxi,6,1148.6666666666667
taxi,7,1552.0
taxi,8,1356.25
taxi,9,1559.0
taxi,10,1813.3333333333333
taxi,11,978.6666666666666
taxi,12,1707.5
taxi,13,4803.0
taxi,14,3480.0
taxi,15,2383.0
taxi,16,1919.0
taxi,17,2332.6666666666665
taxi,18,2520.0
taxi,19,1260.0
taxi,20,1360.0
taxi,21,1911.3333333333333
taxi,22,989.0
taxi,23,1380.0
