tripduration,index,VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
331.0,44,2,01/01/2021 12:47:17 AM,01/01/2021 12:52:48 AM,1,1.66,1,N,48,239,2,7.0,0.5,0.5,0.0,0.0,0.3,10.8,2.5
241.0,45,2,01/01/2021 12:57:26 AM,01/01/2021 01:01:27 AM,1,0.89,1,N,142,48,2,5.0,0.5,0.5,0.0,0.0,0.3,8.8,2.5
756.0,46,2,01/01/2021 12:03:09 AM,01/01/2021 12:15:45 AM,1,4.85,1,N,137,256,1,16.5,0.5,0.5,4.06,0.0,0.3,24.36,2.5
297.0,47,2,01/01/2021 12:54:20 AM,01/01/2021 12:59:17 AM,1,1.16,1,N,140,262,2,6.5,0.5,0.5,0.0,0.0,0.3,10.3,2.5
500.0,49,2,01/01/2021 12:28:07 AM,01/01/2021 12:36:27 AM,5,2.01,1,N,170,114,1,9.0,0.5,0.5,2.0,0.0,0.3,14.8,2.5
669.0,50,2,01/01/2021 12:54:10 AM,01/01/2021 01:05:19 AM,2,3.45,1,N,186,87,1,12.0,0.5,0.5,10.08,0.0,0.3,25.88,2.5
1271.0,51,2,01/01/2021 12:50:48 AM,01/01/2021 01:11:59 AM,1,3.79,1,N,209,256,1,17.0,0.5,0.5,4.16,0.0,0.3,24.96,2.5
527.0,53,1,01/01/2021 12:52:27 AM,01/01/2021 01:01:14 AM,1,3.1,1,N,232,112,1,11.0,3.0,0.5,2.95,0.0,0.3,17.75,2.5
591.0,54,2,01/01/2021 12:08:04 AM,01/01/2021 12:17:55 AM,3,2.85,1,N,164,141,1,10.5,0.5,0.5,4.29,0.0,0.3,18.59,2.5
369.0,55,2,01/01/2021 12:22:02 AM,01/01/2021 12:28:11 AM,3,1.68,1,N,141,236,1,7.5,0.5,0.5,2.26,0.0,0.3,13.56,2.5
154.0,56,2,01/01/2021 12:33:33 AM,01/01/2021 12:36:07 AM,3,0.77,1,N,263,236,1,4.5,0.5,0.5,1.66,0.0,0.3,9.96,2.5
127.0,57,2,01/01/2021 12:39:08 AM,01/01/2021 12:41:15 AM,2,0.52,1,N,141,236,1,4.0,0.5,0.5,1.5,0.0,0.3,9.3,2.5
89.0,58,2,01/01/2021 12:45:29 AM,01/01/2021 12:46:58 AM,3,0.4,1,N,141,140,1,3.5,0.5,0.5,0.5,0.0,0.3,7.8,2.5
