weekday,duration,tpep_pickup_datetime,PULocationID
0,775.0,07/05/2021 08:40:15 AM,140
0,371.0,07/05/2021 08:51:25 AM,140
0,1173.0,07/05/2021 08:05:55 AM,140
0,585.0,07/05/2021 09:29:09 AM,140
0,761.0,07/05/2021 09:06:04 AM,140
0,148.0,07/05/2021 09:35:37 AM,140
0,257.0,07/05/2021 09:44:14 AM,140
0,600.0,07/05/2021 09:03:52 AM,140
0,356.0,07/05/2021 09:54:03 AM,140
0,254.0,07/05/2021 09:22:10 AM,140
0,563.0,07/05/2021 09:47:58 AM,140
0,222.0,07/05/2021 09:56:10 AM,140
0,97.0,07/05/2021 09:42:39 AM,140
0,259.0,07/05/2021 09:51:05 AM,140
0,302.0,07/05/2021 09:14:01 AM,140
0,136.0,07/05/2021 09:29:04 AM,140
0,754.0,07/05/2021 09:02:04 AM,140
0,229.0,07/05/2021 09:56:04 AM,140
0,324.0,07/05/2021 09:28:47 AM,140
0,1168.0,07/05/2021 09:02:28 AM,140
0,384.0,07/05/2021 09:05:56 AM,140
0,253.0,07/05/2021 09:10:39 AM,140
0,455.0,07/05/2021 09:49:52 AM,140
0,256.0,07/05/2021 09:09:33 AM,140
0,515.0,07/05/2021 09:41:30 AM,140
0,324.0,07/05/2021 09:29:16 AM,140
0,1360.0,07/05/2021 09:12:28 AM,140
0,340.0,07/05/2021 09:09:22 AM,140
0,752.0,07/05/2021 09:47:11 AM,140
0,241.0,07/05/2021 09:50:40 AM,140
0,155.0,07/05/2021 09:54:19 AM,140
0,204.0,07/05/2021 09:38:33 AM,140
0,1076.0,07/05/2021 09:50:55 AM,140
0,301.0,07/05/2021 09:13:17 AM,140
0,1097.0,07/05/2021 09:10:34 AM,140
0,803.0,07/05/2021 08:56:51 AM,140
0,216.0,07/05/2021 09:40:55 AM,140
0,303.0,07/05/2021 09:29:31 AM,140
0,552.0,07/05/2021 10:43:30 AM,140
0,670.0,07/05/2021 10:30:49 AM,140
0,624.0,07/05/2021 10:45:39 AM,140
0,392.0,07/05/2021 10:53:36 AM,140
0,84710.0,07/05/2021 10:55:06 AM,140
0,819.0,07/05/2021 10:22:38 AM,140
0,819.0,07/05/2021 10:37:44 AM,140
0,823.0,07/05/2021 10:49:11 AM,140
0,504.0,07/05/2021 10:36:31 AM,140
0,754.0,07/05/2021 10:07:58 AM,140
0,274.0,07/05/2021 10:44:57 AM,140
0,517.0,07/05/2021 10:25:25 AM,140
0,375.0,07/05/2021 10:25:28 AM,140
0,725.0,07/05/2021 10:44:31 AM,140
0,138.0,07/05/2021 10:01:26 AM,140
0,820.0,07/05/2021 10:00:40 AM,140
0,953.0,07/05/2021 10:12:53 AM,140
0,871.0,07/05/2021 10:21:41 AM,140
0,540.0,07/05/2021 10:51:21 AM,140
0,744.0,07/05/2021 10:08:27 AM,140
0,360.0,07/05/2021 10:21:57 AM,140
0,193.0,07/05/2021 10:57:53 AM,140
0,261.0,07/05/2021 10:40:00 AM,140
0,254.0,07/05/2021 10:44:28 AM,140
0,517.0,07/05/2021 10:37:34 AM,140
0,650.0,07/05/2021 10:05:06 AM,140
0,466.0,07/05/2021 10:06:07 AM,140
0,241.0,07/05/2021 10:15:51 AM,140
0,277.0,07/05/2021 10:22:59 AM,140
0,898.0,07/05/2021 10:20:34 AM,140
0,414.0,07/05/2021 10:38:46 AM,140
0,436.0,07/05/2021 10:19:26 AM,140
0,998.0,07/05/2021 10:21:01 AM,140
0,310.0,07/05/2021 10:09:19 AM,140
0,242.0,07/05/2021 10:52:45 AM,140
0,288.0,07/05/2021 10:01:47 AM,140
0,164.0,07/05/2021 10:25:50 AM,140
0,732.0,07/05/2021 10:18:46 AM,140
0,174.0,07/05/2021 10:06:36 AM,140
0,779.0,07/05/2021 10:34:49 AM,140
0,855.0,07/05/2021 10:07:02 AM,140
0,1136.0,07/05/2021 10:50:56 AM,140
0,76.0,07/05/2021 10:04:26 AM,140
0,134.0,07/05/2021 10:21:47 AM,140
0,1194.0,07/05/2021 10:58:40 AM,140
0,599.0,07/05/2021 10:35:24 AM,140
0,403.0,07/05/2021 10:35:06 AM,140
0,1027.0,07/05/2021 10:43:45 AM,140
0,1725.0,07/05/2021 10:34:46 AM,140
0,809.0,07/05/2021 10:23:47 AM,140
0,548.0,07/05/2021 10:21:50 AM,140
0,877.0,07/05/2021 10:19:16 AM,140
0,394.0,07/05/2021 10:39:09 AM,140
0,726.0,07/05/2021 10:47:02 AM,140
0,332.0,07/05/2021 11:27:09 AM,140
0,1049.0,07/05/2021 11:13:58 AM,140
0,425.0,07/05/2021 11:01:04 AM,140
0,481.0,07/05/2021 11:37:06 AM,140
0,1407.0,07/05/2021 11:15:22 AM,140
0,310.0,07/05/2021 11:08:31 AM,140
0,277.0,07/05/2021 11:20:34 AM,140
0,334.0,07/05/2021 11:17:52 AM,140
0,542.0,07/05/2021 11:21:47 AM,140
0,172.0,07/05/2021 11:16:24 AM,140
0,265.0,07/05/2021 11:57:45 AM,140
0,667.0,07/05/2021 11:25:26 AM,140
0,95.0,07/05/2021 11:56:53 AM,140
0,399.0,07/05/2021 11:38:48 AM,140
0,392.0,07/05/2021 11:39:27 AM,140
0,786.0,07/05/2021 11:32:20 AM,140
