weekday,duration,tpep_pickup_datetime,PULocationID
0,1397.0,07/05/2021 11:59:36 AM,79
0,179.0,07/05/2021 12:31:25 AM,79
0,770.0,07/05/2021 12:35:37 AM,79
0,346.0,07/05/2021 12:25:50 AM,79
0,1114.0,07/05/2021 12:19:58 AM,79
0,1169.0,07/05/2021 12:41:32 AM,79
0,865.0,07/05/2021 12:43:35 AM,79
0,869.0,07/05/2021 12:24:43 AM,79
0,941.0,07/05/2021 12:53:52 AM,79
0,755.0,07/05/2021 12:59:16 AM,79
0,1041.0,07/05/2021 12:21:09 AM,79
0,542.0,07/05/2021 12:03:03 AM,79
0,696.0,07/05/2021 12:04:09 AM,79
0,468.0,07/05/2021 12:19:46 AM,79
0,946.0,07/05/2021 12:12:17 AM,79
0,479.0,07/05/2021 12:33:11 AM,79
0,808.0,07/05/2021 12:17:18 AM,79
0,1512.0,07/05/2021 12:03:42 AM,79
0,376.0,07/05/2021 12:44:17 AM,79
0,660.0,07/05/2021 12:56:39 AM,79
0,869.0,07/05/2021 12:51:52 AM,79
0,488.0,07/05/2021 12:42:49 AM,79
0,420.0,07/05/2021 12:44:12 AM,79
0,430.0,07/05/2021 12:01:34 AM,79
0,207.0,07/05/2021 12:32:30 AM,79
0,877.0,07/05/2021 12:26:35 AM,79
0,2124.0,07/05/2021 12:01:47 AM,79
0,691.0,07/05/2021 12:38:14 AM,79
0,891.0,07/05/2021 12:27:04 AM,79
0,950.0,07/05/2021 12:54:20 AM,79
0,525.0,07/05/2021 12:49:24 AM,79
0,498.0,07/05/2021 12:32:51 AM,79
0,2000.0,07/05/2021 12:10:22 AM,79
0,322.0,07/05/2021 12:35:11 AM,79
0,239.0,07/05/2021 12:45:24 AM,79
0,604.0,07/05/2021 12:51:52 AM,79
0,59.0,07/05/2021 12:25:06 AM,79
0,845.0,07/05/2021 12:27:28 AM,79
0,213.0,07/05/2021 12:53:05 AM,79
0,1541.0,07/05/2021 12:47:13 AM,79
0,546.0,07/05/2021 12:58:22 AM,79
0,664.0,07/05/2021 12:55:53 AM,79
0,616.0,07/05/2021 12:56:08 AM,79
