Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
1224,1139,1271,1264,1386,1683,1313
Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
328,379,360,435,494,474,322
