Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
901,951,1059,1085,1176,1128,869
Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
73,57,59,75,86,72,59
