weekday,duration,start_zoneID,started_at
0,1510.0,42,2021-07-26 18:01:50
0,785.0,42,2021-07-05 10:10:45
0,459.0,42,2021-07-19 10:43:57
0,430.0,42,2021-07-05 06:02:25
0,362.0,42,2021-07-19 10:02:30
0,486.0,42,2021-07-26 19:36:34
0,237.0,42,2021-07-26 17:11:18
0,2348.0,42,2021-07-26 23:15:01
0,164.0,42,2021-07-12 08:44:53
0,295.0,42,2021-07-05 18:20:23
0,609.0,42,2021-07-12 05:59:17
0,2019.0,42,2021-07-12 17:27:22
0,534.0,42,2021-07-19 19:17:30
0,443.0,42,2021-07-19 08:44:55
0,1355.0,42,2021-07-26 21:15:59
0,1515.0,42,2021-07-26 15:18:52
0,520.0,42,2021-07-26 18:34:46
0,453.0,42,2021-07-26 23:28:30
0,441.0,42,2021-07-26 15:56:30
0,284.0,42,2021-07-12 08:10:26
0,406.0,42,2021-07-19 19:01:48
0,6160.0,42,2021-07-26 20:26:55
0,104.0,42,2021-07-26 17:25:16
0,1008.0,42,2021-07-26 23:47:09
0,1000.0,42,2021-07-05 21:02:50
0,295.0,42,2021-07-26 17:43:17
0,409.0,42,2021-07-05 14:17:11
0,300.0,42,2021-07-26 08:24:16
0,927.0,42,2021-07-19 16:13:27
0,359.0,42,2021-07-05 20:41:34
0,1077.0,42,2021-07-05 17:02:26
0,1020.0,42,2021-07-19 20:23:00
0,172.0,42,2021-07-05 00:15:36
0,2.0,42,2021-07-12 21:38:39
0,113.0,42,2021-07-19 19:57:39
0,1939.0,42,2021-07-05 12:24:36
0,114.0,42,2021-07-05 18:49:18
0,293.0,42,2021-07-12 23:52:39
0,17.0,42,2021-07-19 21:08:18
0,2215.0,42,2021-07-12 00:46:10
0,1099.0,42,2021-07-26 11:07:18
0,1095.0,42,2021-07-26 11:07:19
0,517.0,42,2021-07-26 12:33:45
0,464.0,42,2021-07-05 02:28:36
0,140.0,42,2021-07-12 12:45:02
0,871.0,42,2021-07-05 18:04:58
0,209.0,42,2021-07-26 18:14:57
0,363.0,42,2021-07-05 13:32:08
0,1931.0,42,2021-07-26 15:14:07
0,711.0,42,2021-07-26 16:59:45
0,990.0,42,2021-07-19 10:40:05
0,718.0,42,2021-07-12 21:03:09
0,785.0,42,2021-07-05 00:32:06
0,826.0,42,2021-07-05 00:31:11
0,1088.0,42,2021-07-19 08:11:11
0,768.0,42,2021-07-19 18:43:31
0,1811.0,42,2021-07-12 17:45:59
0,166.0,42,2021-07-19 16:42:43
0,2185.0,42,2021-07-05 08:30:27
0,1160.0,42,2021-07-12 07:57:26
0,1811.0,42,2021-07-26 17:34:10
0,753.0,42,2021-07-26 11:44:49
0,1885.0,42,2021-07-26 13:57:43
0,750.0,42,2021-07-19 12:05:17
0,213.0,42,2021-07-12 16:50:48
0,289.0,42,2021-07-26 16:35:20
0,479.0,42,2021-07-05 18:57:48
0,1130.0,42,2021-07-26 19:03:16
0,110.0,42,2021-07-12 19:28:45
0,647.0,42,2021-07-19 15:08:11
0,206.0,42,2021-07-05 12:08:13
0,644.0,42,2021-07-05 17:44:49
0,322.0,42,2021-07-05 11:03:46
