ride_type,hour,mean
bike,0,1492.840611353712
bike,1,1566.7628458498023
bike,2,1939.9565217391305
bike,3,1111.10989010989
bike,4,892.3116883116883
bike,5,854.6666666666666
bike,6,854.9460317460317
bike,7,1132.479525862069
bike,8,953.6970099667774
bike,9,1163.5009966777409
bike,10,1176.813651877133
bike,11,1241.7540725170784
bike,12,1136.4043902439025
bike,13,1217.374251497006
bike,14,1444.317396544797
bike,15,1327.0214882610426
bike,16,1236.7560222359482
bike,17,1193.515830491963
bike,18,1227.9311377245508
bike,19,1192.8491637740613
bike,20,1314.2605250123825
bike,21,2796.141160949868
bike,22,1494.1780442804427
bike,23,1235.55919395466
taxi,0,1033.7422037422039
taxi,1,839.2426778242677
taxi,2,800.6546762589928
taxi,3,2126.2608695652175
taxi,4,901.875
taxi,5,929.6551724137931
taxi,6,962.7714285714286
taxi,7,890.6367521367522
taxi,8,901.54
taxi,9,1219.3202479338843
taxi,10,1495.8427787934186
taxi,11,1156.1693907875185
taxi,12,1122.2366710013005
taxi,13,1077.4198312236288
taxi,14,1371.3152478952293
taxi,15,1161.9518768046198
taxi,16,1211.0547576301615
taxi,17,1169.338203067933
taxi,18,990.3964028776978
taxi,19,1084.8799694189602
taxi,20,951.9744952178534
taxi,21,1064.13986013986
taxi,22,985.3344407530454
taxi,23,1014.9415584415584
