ride_type,hour,mean
bike,0,985.6270161290323
bike,1,1007.7080291970802
bike,2,1241.9673202614379
bike,3,1151.095744680851
bike,4,825.9154929577464
bike,5,745.5263157894736
bike,6,740.3752
bike,7,901.2376142376143
bike,8,989.5580985915493
bike,9,954.640881147541
bike,10,997.4222222222222
bike,11,1090.7405959941377
bike,12,1089.2362661902634
bike,13,1056.171163202123
bike,14,1048.1182053494392
bike,15,1060.9847634322373
bike,16,1062.7529673590504
bike,17,1064.3431723315443
bike,18,1091.7200215575317
bike,19,1055.0782874617737
bike,20,1050.5477366255143
bike,21,1050.562030075188
bike,22,1391.0988112927191
bike,23,1155.2872596153845
taxi,0,730.715625
taxi,1,663.4965034965035
taxi,2,707.6976744186046
taxi,3,498.3703703703704
taxi,4,919.280701754386
taxi,5,786.1865671641791
taxi,6,651.2784810126582
taxi,7,777.4262626262627
taxi,8,777.5919471153846
taxi,9,796.9763285024154
taxi,10,970.2034750800183
taxi,11,727.8943089430894
taxi,12,826.8904761904762
taxi,13,848.3706096083972
taxi,14,854.5632784250703
taxi,15,1068.9055740432611
taxi,16,824.9811142587347
taxi,17,996.1200167855644
taxi,18,781.2614306784661
taxi,19,774.707065750736
taxi,20,807.2609909281229
taxi,21,948.5676895306859
taxi,22,834.515756302521
taxi,23,697.2491349480969
