ride_type,hour,mean
bike,0,1153.6774193548388
bike,1,1336.8125
bike,2,1684.111111111111
bike,3,1631.8
bike,4,757.625
bike,5,1071.4
bike,6,843.0
bike,7,1060.9024390243903
bike,8,894.792899408284
bike,9,1340.6666666666667
bike,10,1176.4314720812183
bike,11,1233.7888888888888
bike,12,1198.3681818181817
bike,13,1216.6206896551723
bike,14,1244.7328244274809
bike,15,1450.6701030927834
bike,16,1208.8154761904761
bike,17,1083.2632978723404
bike,18,1599.3069306930693
bike,19,1144.2186234817814
bike,20,1495.8809523809523
bike,21,1294.4608695652173
bike,22,1108.65625
bike,23,1076.1896551724137
taxi,0,1047.0428571428572
taxi,1,792.7017543859649
taxi,2,2684.0227272727275
taxi,3,761.1
taxi,4,684.4333333333333
taxi,5,779.3571428571429
taxi,6,1213.953488372093
taxi,7,895.6470588235294
taxi,8,1081.2132352941176
taxi,9,1341.9378881987577
taxi,10,1092.391304347826
taxi,11,1033.3710691823899
taxi,12,1018.0496894409938
taxi,13,1845.0431034482758
taxi,14,1126.610294117647
taxi,15,1199.0277777777778
taxi,16,1436.8521126760563
taxi,17,1443.3129770992366
taxi,18,1654.3428571428572
taxi,19,1870.7261904761904
taxi,20,1076.0153846153846
taxi,21,925.8714285714286
taxi,22,841.8225806451613
taxi,23,1036.6
