ride_type,hour,mean
bike,0,1573.8211143695014
bike,1,1670.455357142857
bike,2,1833.409090909091
bike,3,1129.0
bike,4,882.6363636363636
bike,5,882.0561224489796
bike,6,959.5354609929078
bike,7,972.0758620689655
bike,8,1104.3425324675325
bike,9,1059.7970479704798
bike,10,1183.3402777777778
bike,11,1243.10777385159
bike,12,1116.6218905472638
bike,13,1156.03074670571
bike,14,1312.015691868759
bike,15,1557.935397039031
bike,16,1331.4090338770388
bike,17,1443.6348717948717
bike,18,1398.2781586679725
bike,19,1328.5488322717622
bike,20,1710.1081409477522
bike,21,1153.4642313546424
bike,22,1279.2028985507247
bike,23,1395.7764705882353
taxi,0,736.1086956521739
taxi,1,632.231884057971
taxi,2,609.2941176470588
taxi,3,625.3030303030303
taxi,4,795.2884615384615
taxi,5,848.8571428571429
taxi,6,960.7235294117647
taxi,7,874.549645390071
taxi,8,1458.6571428571428
taxi,9,1281.7422222222222
taxi,10,1348.2704081632653
taxi,11,1348.1421568627452
taxi,12,1397.137339055794
taxi,13,1269.9598214285713
taxi,14,1027.2125
taxi,15,1421.1454545454546
taxi,16,1288.0281690140846
taxi,17,1054.565
taxi,18,980.6446280991736
taxi,19,929.8144329896908
taxi,20,924.24375
taxi,21,837.1768292682926
taxi,22,832.2516556291391
taxi,23,773.5470085470085
