ride_type,hour,mean
bike,0,2647.8253968253966
bike,1,1665.4117647058824
bike,2,1739.8709677419354
bike,3,1168.84
bike,4,1003.6538461538462
bike,5,742.0416666666666
bike,6,1259.4
bike,7,779.3478260869565
bike,8,902.7439024390244
bike,9,1142.4157303370787
bike,10,884.1170212765958
bike,11,1910.2808988764045
bike,12,1965.96
bike,13,1122.1328671328672
bike,14,2135.6493506493507
bike,15,1642.7021276595744
bike,16,1592.0757575757575
bike,17,1624.129213483146
bike,18,2433.285714285714
bike,19,1646.7880794701987
bike,20,1340.1538461538462
bike,21,1184.9537037037037
bike,22,1692.787037037037
bike,23,2134.987804878049
taxi,0,1997.142857142857
taxi,1,224.0
taxi,2,
taxi,3,579.3333333333334
taxi,4,995.6666666666666
taxi,5,1111.5
taxi,6,1372.2
taxi,7,2237.5
taxi,8,1894.0
taxi,9,1554.6315789473683
taxi,10,1846.0
taxi,11,1782.6875
taxi,12,2234.4117647058824
taxi,13,2896.315789473684
taxi,14,3104.3333333333335
taxi,15,2418.4117647058824
taxi,16,3451.8387096774195
taxi,17,3291.3636363636365
taxi,18,1948.4
taxi,19,1655.4
taxi,20,2220.8571428571427
taxi,21,1564.75
taxi,22,1786.6666666666667
taxi,23,2591.55
