ride_type,hour,mean
bike,0,1399.1475155279504
bike,1,1129.638418079096
bike,2,871.8288770053476
bike,3,964.9051094890511
bike,4,769.3739837398374
bike,5,697.2918918918919
bike,6,801.794952681388
bike,7,755.9225239616613
bike,8,942.569871159564
bike,9,894.7277514481306
bike,10,978.380658436214
bike,11,1103.025819265144
bike,12,973.2476987447699
bike,13,1004.9192652712516
bike,14,968.7263961430293
bike,15,4526.914988814317
bike,16,989.253164556962
bike,17,954.171052631579
bike,18,1088.9625273522977
bike,19,1107.9807378387202
bike,20,1115.9640491958373
bike,21,1029.7265529841657
bike,22,1208.939214232765
bike,23,1055.9512652296157
taxi,0,1004.2068965517242
taxi,1,2580.4117647058824
taxi,2,898.12
taxi,3,1099.4444444444443
taxi,4,864.1428571428571
taxi,5,1065.05
taxi,6,1009.3461538461538
taxi,7,1134.469696969697
taxi,8,1367.8358208955224
taxi,9,1077.1842105263158
taxi,10,1225.0754716981132
taxi,11,1276.2133333333334
taxi,12,1342.8023255813953
taxi,13,1324.2714285714285
taxi,14,1377.2083333333333
taxi,15,1664.8064516129032
taxi,16,1407.8977272727273
taxi,17,1071.0357142857142
taxi,18,1167.5274725274726
taxi,19,1250.4895833333333
taxi,20,994.1898734177215
taxi,21,1040.9213483146068
taxi,22,1126.6435643564357
taxi,23,917.5153846153846
