ride_type,hour,mean
bike,0,1029.2920353982302
bike,1,1241.4530201342282
bike,2,1729.303317535545
bike,3,1823.1679389312976
bike,4,1023.978021978022
bike,5,866.2181818181818
bike,6,764.9007092198582
bike,7,621.1708253358925
bike,8,884.4831804281346
bike,9,1107.928238583411
bike,10,958.1035781544256
bike,11,907.5504439063761
bike,12,993.8572404371585
bike,13,840.0866794136392
bike,14,896.5232177894048
bike,15,850.2216981132076
bike,16,905.5289213131839
bike,17,898.1509028374893
bike,18,871.8068520357498
bike,19,1054.2795633717406
bike,20,1182.8630017452008
bike,21,1369.8042813455656
bike,22,1190.1733639494832
bike,23,1614.092879256966
taxi,0,742.6915636754433
taxi,1,853.7361111111111
taxi,2,759.3173515981736
taxi,3,680.707530647986
taxi,4,993.9386666666667
taxi,5,815.7587412587412
taxi,6,729.6132264529058
taxi,7,702.5988304093568
taxi,8,694.5608288770053
taxi,9,765.3764135702746
taxi,10,942.0560292326431
taxi,11,905.1076523994811
taxi,12,1076.9510294936003
taxi,13,1012.4034848897359
taxi,14,976.81745623069
taxi,15,993.4748475609756
taxi,16,1033.6377952755906
taxi,17,891.7197765363128
taxi,18,806.9073839662448
taxi,19,795.9264934488119
taxi,20,773.6536269430052
taxi,21,774.7825711820535
taxi,22,778.6191851138916
taxi,23,1096.9551482059283
